id,value
Basic Industries|Agricultural Chemicals|AgroFresh Solutions Inc. Common Stock(AGFS)(0.129),0.129
Basic Industries|Agricultural Chemicals|American Vanguard Corporation Common Stock ($0.10 Par Value)(AVD)(0.552),0.552
Basic Industries|Agricultural Chemicals|Bioceres Crop Solutions Corp. Ordinary Shares(BIOX)(0.343),0.343
Basic Industries|Agricultural Chemicals|CF Industries Holdings Inc. Common Stock(CF)(9.38),9.38
Basic Industries|Agricultural Chemicals|CVR Partners LP Common Units representing Limited Partner Interests(UAN)(0.25),0.25
Basic Industries|Agricultural Chemicals|Calyxt Inc. Common Stock(CLXT)(0.393),0.393
Basic Industries|Agricultural Chemicals|China Green Agriculture Inc. Common Stock(CGA)(0.0333),0.0333
Basic Industries|Agricultural Chemicals|Evogene Ltd Ordinary Shares(EVGN)(0.296),0.296
Basic Industries|Agricultural Chemicals|ICL Group Ltd. Ordinary Shares(ICL)(7.44),7.44
Basic Industries|Agricultural Chemicals|Marrone Bio Innovations Inc. Common Stock(MBII)(0.388),0.388
Basic Industries|Agricultural Chemicals|Mosaic Company (The) Common Stock(MOS)(10.5),10.5
Basic Industries|Agricultural Chemicals|Nutrien Ltd. Common Shares(NTR)(31.6),31.6
Basic Industries|Agricultural Chemicals|Scotts Miracle-Gro Company (The) Common Stock(SMG)(12.9),12.9
Basic Industries|Agricultural Chemicals|SenesTech Inc. Common Stock(SNES)(0.0164),0.0164
Basic Industries|Aluminum|Alcoa Corporation Common Stock(AA)(3.93),3.93
Basic Industries|Aluminum|Aluminum Corporation of China Limited American Depositary Shares(ACH)(7.2),7.2
Basic Industries|Aluminum|Century Aluminum Company Common Stock(CENX)(1.12),1.12
Basic Industries|Containers/Packaging|Yield10 Bioscience Inc. Common Stock(YTEN)(0.0832),0.0832
Basic Industries|Electric Utilities: Central|Covanta Holding Corporation Common Stock(CVA)(1.9),1.9
Basic Industries|Electric Utilities: Central|The AES Corporation Common Stock(AES)(18.5),18.5
Basic Industries|Engineering & Construction|APi Group Corporation Common Stock(APG)(3.55),3.55
Basic Industries|Engineering & Construction|Alberton Acquisition Corporation Ordinary Shares(ALAC)(0.0546),0.0546
Basic Industries|Engineering & Construction|Alberton Acquisition Corporation Rights exp April 26 2021(ALACR)(0.0),0.0
Basic Industries|Engineering & Construction|Alberton Acquisition Corporation Warrant(ALACW)(0.0),0.0
Basic Industries|Engineering & Construction|Ameresco Inc. Class A Common Stock(AMRC)(3.0),3.0
Basic Industries|Engineering & Construction|Argan Inc. Common Stock(AGX)(0.771),0.771
Basic Industries|Engineering & Construction|Brookfield Business Partners L.P. Limited Partnership Units(BBU)(3.39),3.39
Basic Industries|Engineering & Construction|Color Star Technology Co. Ltd. Ordinary Shares(CSCW)(0.0582),0.0582
Basic Industries|Engineering & Construction|Concrete Pumping Holdings Inc. Common Stock(BBCP)(0.372),0.372
Basic Industries|Engineering & Construction|Limbach Holdings Inc. Common Stock(LMB)(0.119),0.119
Basic Industries|Engineering & Construction|Matrix Service Company Common Stock(MTRX)(0.339),0.339
Basic Industries|Engineering & Construction|TopBuild Corp. Common Stock(BLD)(6.92),6.92
Basic Industries|Environmental Services|Charah Solutions Inc. Common Stock(CHRA)(0.141),0.141
Basic Industries|Environmental Services|Clean Harbors Inc. Common Stock(CLH)(4.56),4.56
Basic Industries|Environmental Services|Perma-Fix Environmental Services Inc. Common Stock(PESI)(0.0857),0.0857
Basic Industries|Environmental Services|Sharps Compliance Corp. Common Stock(SMED)(0.244),0.244
Basic Industries|Environmental Services|Stericycle Inc. Common Stock(SRCL)(6.11),6.11
Basic Industries|Forest Products|American Woodmark Corporation Common Stock(AMWD)(1.59),1.59
Basic Industries|Forest Products|Enviva Partners LP Common units representing limited partner interests(EVA)(2.07),2.07
Basic Industries|Forest Products|Fortune Brands Home & Security Inc. Common Stock(FBHS)(11.9),11.9
Basic Industries|Forest Products|JELD-WEN Holding Inc. Common Stock(JELD)(2.73),2.73
