id,value
Basic Industries|Agricultural Chemicals|AGFS(0.129B),0.129B
Basic Industries|Agricultural Chemicals|AVD(0.552B),0.552B
Basic Industries|Agricultural Chemicals|BIOX(0.343B),0.343B
Basic Industries|Agricultural Chemicals|CF(9.385B),9.385B
Basic Industries|Agricultural Chemicals|CGA(0.033B),0.033B
Basic Industries|Agricultural Chemicals|CLXT(0.393B),0.393B
Basic Industries|Agricultural Chemicals|EVGN(0.296B),0.296B
Basic Industries|Agricultural Chemicals|ICL(7.441B),7.441B
Basic Industries|Agricultural Chemicals|MBII(0.388B),0.388B
Basic Industries|Agricultural Chemicals|MOS(10.482B),10.482B
Basic Industries|Agricultural Chemicals|NTR(31.645B),31.645B
Basic Industries|Agricultural Chemicals|SMG(12.905B),12.905B
Basic Industries|Agricultural Chemicals|SNES(0.016B),0.016B
Basic Industries|Agricultural Chemicals|UAN(0.250B),0.250B
Basic Industries|Aluminum|AA(3.928B),3.928B
Basic Industries|Aluminum|ACH(7.204B),7.204B
Basic Industries|Aluminum|CENX(1.124B),1.124B
Basic Industries|Containers/Packaging|YTEN(0.083B),0.083B
Basic Industries|Electric Utilities: Central|AES(18.497B),18.497B
Basic Industries|Electric Utilities: Central|CVA(1.902B),1.902B
Basic Industries|Engineering & Construction|AGX(0.771B),0.771B
Basic Industries|Engineering & Construction|ALAC(0.055B),0.055B
Basic Industries|Engineering & Construction|ALACR(0.000B),0.000B
Basic Industries|Engineering & Construction|ALACW(0.000B),0.000B
Basic Industries|Engineering & Construction|AMRC(3.002B),3.002B
Basic Industries|Engineering & Construction|APG(3.545B),3.545B
Basic Industries|Engineering & Construction|BBCP(0.372B),0.372B
Basic Industries|Engineering & Construction|BBU(3.394B),3.394B
Basic Industries|Engineering & Construction|BLD(6.919B),6.919B
Basic Industries|Engineering & Construction|CSCW(0.058B),0.058B
Basic Industries|Engineering & Construction|LMB(0.119B),0.119B
Basic Industries|Engineering & Construction|MTRX(0.339B),0.339B
Basic Industries|Environmental Services|CHRA(0.141B),0.141B
Basic Industries|Environmental Services|CLH(4.564B),4.564B
Basic Industries|Environmental Services|PESI(0.086B),0.086B
Basic Industries|Environmental Services|SMED(0.244B),0.244B
Basic Industries|Environmental Services|SRCL(6.112B),6.112B
Basic Industries|Forest Products|AMWD(1.586B),1.586B
Basic Industries|Forest Products|DOOR(2.566B),2.566B
Basic Industries|Forest Products|EVA(2.067B),2.067B
Basic Industries|Forest Products|FBHS(11.924B),11.924B
Basic Industries|Forest Products|JELD(2.728B),2.728B
Basic Industries|Forest Products|KOP(0.726B),0.726B
Basic Industries|Forest Products|LPX(4.912B),4.912B
Basic Industries|Forest Products|TREX(11.851B),11.851B
Basic Industries|Forest Products|UFPI(3.633B),3.633B
Basic Industries|Forest Products|WFG(8.464B),8.464B
Basic Industries|General Bldg Contractors - Nonresidential Bldgs|TPC(0.889B),0.889B
Basic Industries|Home Furnishings|CSWI(2.006B),2.006B
Basic Industries|Home Furnishings|FUL(2.923B),2.923B
Basic Industries|Homebuilding|CVCO(1.971B),1.971B
Basic Industries|Homebuilding|IBP(3.564B),3.564B
Basic Industries|Homebuilding|LEGH(0.393B),0.393B
Basic Industries|Homebuilding|LEN(27.009B),27.009B
Basic Industries|Homebuilding|SIC(0.228B),0.228B
Basic Industries|Homebuilding|SKY(2.455B),2.455B
Basic Industries|Homebuilding|XIN(0.192B),0.192B
Basic Industries|Major Chemicals|ADES(0.111B),0.111B
Basic Industries|Major Chemicals|ALB(16.499B),16.499B
Basic Industries|Major Chemicals|ALTO(0.475B),0.475B
Basic Industries|Major Chemicals|AMRS(3.401B),3.401B
Basic Industries|Major Chemicals|AMTX(0.174B),0.174B
Basic Industries|Major Chemicals|APD(58.118B),58.118B
Basic Industries|Major Chemicals|ASIX(0.745B),0.745B
Basic Industries|Major Chemicals|ATC(3.730B),3.730B
Basic Industries|Major Chemicals|AVNT(3.942B),3.942B
Basic Industries|Major Chemicals|BAK(4.436B),4.436B
Basic Industries|Major Chemicals|BCPC(3.730B),3.730B
Basic Industries|Major Chemicals|CBT(2.749B),2.749B
Basic Industries|Major Chemicals|CC(4.105B),4.105B
Basic Industries|Major Chemicals|CDXS(1.565B),1.565B
Basic Industries|Major Chemicals|CE(15.002B),15.002B
Basic Industries|Major Chemicals|CNEY(0.108B),0.108B
Basic Industries|Major Chemicals|CYTH(0.040B),0.040B
Basic Industries|Major Chemicals|CYTHW(0.000B),0.000B
Basic Industries|Major Chemicals|DD(37.042B),37.042B
Basic Industries|Major Chemicals|DNMR(3.761B),3.761B
Basic Industries|Major Chemicals|DOW(42.820B),42.820B
Basic Industries|Major Chemicals|EMN(14.747B),14.747B
Basic Industries|Major Chemicals|ESI(4.255B),4.255B
Basic Industries|Major Chemicals|FF(0.652B),0.652B
Basic Industries|Major Chemicals|FMC(13.601B),13.601B
Basic Industries|Major Chemicals|FSI(0.047B),0.047B
Basic Industries|Major Chemicals|FTK(0.164B),0.164B
Basic Industries|Major Chemicals|GCP(1.870B),1.870B
Basic Industries|Major Chemicals|GEVO(1.642B),1.642B
Basic Industries|Major Chemicals|GPP(0.227B),0.227B
Basic Industries|Major Chemicals|GPRE(0.935B),0.935B
Basic Industries|Major Chemicals|GRA(3.924B),3.924B
